instances,feature_CL,feature_CLD,feature_DCP,feature_F1,feature_Harmfulness,feature_LSC,feature_LSR,feature_N1,feature_N2,feature_TD_P,feature_TD_U,feature_Usefulness,feature_kDN,algo_bagging,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
51,0.2638677842188998,0.19587922241451772,0.016064257028112428,0.9090909090909091,0.0005482456140350877,0.9930313588850174,0.872419895062523,0.0,0.43389329969818036,0.8333333333333334,0.8888888888888888,1.0,0.9,0.009446817972106671,0.0013504746356279356,0.7044703891272079,0.014197733860629653,0.005711956132674685,1.400324966969848,0.006676563509934565
52,0.11767177289684927,0.10520142842020352,0.016064257028112428,0.8636363636363635,0.0,0.9790940766550522,0.920723828664009,0.0,0.05759739611697212,0.8333333333333334,0.8888888888888888,0.9825783972125436,0.2,0.009446817972106671,0.0012617310089650766,0.9319597058224792,0.014197733870330537,0.002943579984960986,0.25518497840291465,0.012673016024784607
53,0.5173218844147756,0.4396886718015877,0.0,0.8409090909090908,0.0005482456140350877,0.9965156794425087,0.8469900907237993,1.0,0.5980093621341787,1.0,0.6666666666666666,1.0,0.7,0.010607936483982497,0.0020286733177270456,1.1025167836308538,0.016105105299669374,0.005926535459273807,0.7691547922955543,0.060863326378026945
54,0.09030090546206637,0.08470350313389052,0.016064257028112428,0.9090909090909091,0.003289473684210526,0.9930313588850174,0.9141976858759835,0.5,0.45546436041381544,0.8333333333333334,0.8888888888888888,1.0,0.9,0.009387135606255415,0.005664661526395644,0.576686098836611,0.018315131224166246,0.0061255159484520155,0.5630761932315003,3.4899362085657564
55,0.09027153678576372,0.08467986782634529,0.016064257028112428,0.8636363636363635,0.0010964912280701754,0.9930313588850174,0.93219739006396,0.3333333333333333,0.45052157527245984,0.8333333333333334,0.8888888888888888,0.9930313588850174,0.7,0.008018175346328897,0.00600074451277323,0.5557749088995257,0.018913345129462543,0.006105731716619401,0.13393111103559813,0.027332056808145433
56,0.0903027144634212,0.08471110865528603,0.016064257028112428,0.8409090909090908,0.0005482456140350877,0.9860627177700348,0.840629050726129,0.0,0.2542827373265313,0.8333333333333334,0.8888888888888888,0.9860627177700348,0.2,0.009541051765515802,0.005661780041354153,0.5151634115617089,0.01831513122416591,0.003427045093757906,0.3297766299162644,0.03451045741255228
57,0.4064444865412308,0.4006543147294922,0.016064257028112428,0.9090909090909092,0.006030701754385965,0.9965156794425087,0.9951789511358746,0.5,0.9291382379134703,0.8333333333333334,0.8888888888888888,0.9965156794425087,0.9,0.009387135606255415,0.03596786616724968,0.7435653809824744,0.03297293910143512,0.005271175400057798,1.1176355588542104,3.4620002624782176
58,0.1320425368439816,0.1264567437707903,0.016064257028112428,0.9090909090909092,0.0,0.9930313588850174,0.8294730395851887,0.0,0.4901257126974763,0.8333333333333334,0.8888888888888888,1.0,0.6,0.009446817972106671,0.011841315945356558,0.6418542257354298,0.014198815477727805,0.009022850169130769,0.7673291385400022,0.03773819728943424
59,0.7445780997739783,0.7390780283977405,0.016064257028112428,0.8863636363636365,0.0027412280701754384,0.9965156794425087,0.9774219406823368,0.6666666666666666,0.8301370727146822,0.8333333333333334,0.8888888888888888,0.9965156794425087,0.8,0.012188987975136288,0.13396729336043747,0.9338828221236355,5.375384098966751,0.10045603028238463,1.0445662764695058,3.5206957361185762
60,0.09884729099214906,0.08679173461191458,0.0,0.8409090909090908,0.0,0.9411764705882353,0.8769573608747671,0.0,0.17821688696198723,0.5,0.3333333333333333,0.9558823529411765,0.0,0.009182821063748976,0.010733461032304947,0.5791263341900367,0.020694765684218772,0.0026053788657770345,0.49261024875978493,0.025150233052803346
