instances,instance_hardness
767,0.18075037992218168
768,0.18920434530299768
769,0.18608606325185173
770,0.19036602171568284
771,0.18756224648748532
772,0.15673948947135252
773,0.17928396559944892
774,0.1588900942609367
775,0.1720727586780061
776,0.21927884539290565
777,0.2029177053316079
778,0.17576780570988215
779,0.18342340670472856
780,0.17399714232932484
781,0.1913467487617284
782,0.19999919621607387
783,0.633798176022726
784,0.19776548001245897
785,0.8467412843399295
786,0.15269940144686955
787,0.5800951294438115
788,0.15542567333158686
789,0.201690244625779
790,0.31580274002296593
791,0.17186234327001138
792,0.18074617269196191
793,0.16794219679926192
794,0.21323972337112385
795,0.14993530155274648
796,0.2159306321679587
797,0.16725763756880907
798,0.20346824808036246
799,0.19808992409880988
800,0.12767487245951292
801,0.18718258605521843
802,0.15283128036152993
803,0.3161559218969392
804,0.2191168479473652
805,0.20996593077282744
806,0.1924124264034347
807,0.18668101490818734
808,0.21584240463819226
809,0.194975083732582
810,0.17310404160804083
811,0.18124684705770644
812,0.19335921877405493
813,0.1933648241916014
814,0.6877071910983834
815,0.19980732178330252
816,0.20594010301112664
817,0.1861938712528336
818,0.18203435286260894
819,0.18074859227977613
820,0.1994950479616131
821,0.1551698770153257
822,0.1595654127497247
823,0.17130676076078855
824,0.15451811343627941
825,0.18398273720949887
826,0.15979946247155863
827,0.13581284414066574
828,0.13673880551108164
829,0.16239163378179156
830,0.16621534391351966
831,0.1737211919145769
832,0.1737211919145769
833,0.1737211919145769
834,0.1737211919145769
835,0.1747014070535815
836,0.16459906744052988
837,0.16014193675935307
838,0.17638395200751644
839,0.18553332435497438
840,0.17808360026017922
841,0.1764706203306785
842,0.1801048091350177
843,0.19176440474775303
844,0.19575380033636236
845,0.15212995673216634
846,0.16853116261512724
847,0.1457055509808861
848,0.1679330478634088
849,0.1991042872199923
850,0.181643876246938
851,0.19349227542011838
852,0.17644831887365098
853,0.1690408523143313
854,0.28632163515126563
855,0.2078350863843903
856,0.20388882070771652
857,0.16790939399938587
858,0.19943830238223526
859,0.19079826157029744
860,0.15615675500977488
861,0.17663755432038453
862,0.19524738130882935
863,0.17490197850650202
864,0.17473377951877245
865,0.19829638699250351
866,0.1944650174140834
867,0.6095913540343564
868,0.1518242487572572
869,0.183123862615037
870,0.19558055334933377
871,0.15061450080704675
872,0.20457926477049426
873,0.193919588975766
874,0.14545397731523446
875,0.16594393822485776
876,0.1959284261455212
877,0.18564966151506945
878,0.174946595275966
879,0.18162356617076836
880,0.20225581322530195
881,0.20422936707560302
882,0.3068257241424829
883,0.2040901696451537
884,0.16687863323662666
885,0.1755116553605791
886,0.1738528658408438
887,0.1945608871979052
888,0.18918384337732586
889,0.13566938595681144
890,0.14359602339952693
891,0.16422939648215018
892,0.17184054114344716
893,0.42531045619721297
894,0.23558131181958086
895,0.2157964952414082
896,0.1864470492187955
897,0.17681416942443773
898,0.1816805258902292
899,0.19502910235463777
900,0.19783595091004003
901,0.17608755921870212
902,0.20905151256865406
903,0.20475995698591132
904,0.16771234994261275
905,0.1942097075648368
906,0.5927393864952796
907,0.20636403235075285
908,0.17526544150856105
909,0.18261041966101077
910,0.18691263934659808
911,0.1557940479946366
912,0.1651714022075499
913,0.17426854439753892
914,0.19571037858075369
915,0.17568285257727723
916,0.12616098285103816
917,0.15058836853616941
918,0.13289192350222878
919,0.16073916317402093
920,0.15417848769388065
921,0.18125532234276653
922,0.18125890174182435
923,0.18836406789576243
924,0.18836406789576243
925,0.16562229465331524
926,0.1683358643466416
927,0.15474218120762395
928,0.19115181550934668
929,0.18303875103521128
930,0.18769729372492305
931,0.15848831556834375
932,0.16903621027186666
933,0.159982588309021
934,0.1849246649785099
935,0.18514719526343248
936,0.16501569286490203
937,0.18066591143684674
938,0.1599840346278688
939,0.15093985997888648
940,0.2163183818371821
941,0.1992571249614674
942,0.19692955985560756
943,0.18377280603923674
944,0.20384803962442954
945,0.20199951265465388
946,0.1849989822015785
947,0.18552377340587878
948,0.20592612094289597
949,0.15632978843346812
950,0.1561216552148561
951,0.19942163378023947
952,0.4519581383967409
953,0.4979942856270808
954,0.4416653903011104
955,0.17028333890176872
956,0.14089808166099904
957,0.20188549508436182
958,0.1332952107875991
959,0.1770376034421608
960,0.17840213483515954
961,0.17968960279859336
962,0.20450274248137112
963,0.2049356218602324
964,0.19966808989266893
965,0.1568085778257965
966,0.14953986126174512
967,0.2290589838338296
968,0.16028745987533222
969,0.16540048871589708
970,0.17283348611243565
971,0.18911207280452214
972,0.18848664620398548
973,0.15650416008401968
974,0.17002591664640065
